All entities,index,Target
BLACKROCK ADV UKLTD-MORGAN-AGG,0,Blackrock Advisors (UK) Limited
BLACKROCK FIN MG AAF-MORGANTRN,1,"BlackRock Financial Management, Inc."
"Commingled Pension Trust Fund (Core Bond) of JPMorgan Chase Bank, N.A.",2,Commingled Pension Trust Fund
"COMMINGLED PENSION TRUST FUND (CORE PLUS BOND) OF JPMORGAN CHASE BANK, N.A.",2,Commingled Pension Trust Fund
"COMMINGLED PENSION TRUST FUND (CORE PLUS BOND) OF JPMORGAN CHASE BANK, N.A.",2,Commingled Pension Trust Fund
"COMMINGLED PENSION TRUST FUND (CORE PLUS BOND) OF JPMORGAN CHASE BANK, N.A.",2,Commingled Pension Trust Fund
"COMMINGLED PENSION TRUST FUND (DISTRESSED DEBT OPPORTUNITIES) OF JPMORGAN CHASE BANK, N.A.",2,Commingled Pension Trust Fund
"COMMINGLED PENSION TRUST FUND (EMERGING MARKETS AGGREGATE BOND FUND) OF JPMORGAN CHASE BANK, N.A.",2,Commingled Pension Trust Fund
COMMINGLED PENSION TRUST FUND (EMERGING MARKETS EQUITY FOCUSED) OF JPMORGAN CHASE BANK,2,Commingled Pension Trust Fund
COMMINGLED PENSION TRUST FUND (EMERGING MARKETS EQUITY) OF JPMORGAN CHASE BANK,2,Commingled Pension Trust Fund
"COMMINGLED PENSION TRUST FUND (EMERGING MARKETS FIXED INCOME) OF JPMORGAN CHASE BANK, N.A.",2,Commingled Pension Trust Fund
"Commingled Pension Trust Fund (Emerging Markets Fixed Income) of JPMorgan Chase Bank, N.A.",2,Commingled Pension Trust Fund
"Commingled Pension Trust Fund (Emerging Markets Strategic Debt) of JPMorgan Chase Bank, N.A.",2,Commingled Pension Trust Fund
COMMINGLED PENSION TRUST FUND (GLOBAL ALLOCATION) OF JP MORGAN CHASE BANK N.A.,2,Commingled Pension Trust Fund
COMMINGLED PENSION TRUST FUND (GLOBAL EMERGING MARKETS DISCOVERY) OF JPMORGAN CHASE BANK N.A.,2,Commingled Pension Trust Fund
COMMINGLED PENSION TRUST FUND (GLOBAL FOCUS) OF JPMORGAN CHASE BANK N.A.,2,Commingled Pension Trust Fund
"Commingled Pension Trust Fund (High Yield) of JPMorgan Chase Bank, N.A",2,Commingled Pension Trust Fund
"COMMINGLED PENSION TRUST FUND (INTERMEDIATE PUBLIC BOND) OF JPMORGAN CHASE BANK, N.A.",2,Commingled Pension Trust Fund
J.P.MORGAN INVESTMENT MANAGEMENT INC. AS AGENT FOR VARIOUS CLIENTS (10TH GROUP),18,"J.P. Morgan Investment Management, Inc."
J.P.MORGAN INVESTMENT MANAGEMENT INC. AS AGENT FOR VARIOUS CLIENTS (11TH GROUP) .,18,"J.P. Morgan Investment Management, Inc."
J.P.MORGAN INVESTMENT MANAGEMENT INC. AS AGENT FOR VARIOUS CLIENTS (12TH GROUP),18,"J.P. Morgan Investment Management, Inc."
J.P.MORGAN INVESTMENT MANAGEMENT INC. AS AGENT FOR VARIOUS CLIENTS (16TH GROUP),18,"J.P. Morgan Investment Management, Inc."
